대분류,소분류,브랜드명,,,,,
패션,옷가게,컨트롤에이,,,,,
패션,옷가게,크록스,,,,,
패션,옷가게,탑텐,,,,,
패션,옷가게,폴더,,,,,
패션,옷가게,폴로,,,,,
패션,옷가게,푸마,,,,,
패션,옷가게,후아유,,,,,
패션,옷가게,휠라,,,,,
패션,옷가게,ABC마트,,,,,
패션,옷가게,COS,,,,,
패션,옷가게,H&M,,,,,
패션,옷가게,ZARA,,,,,
술집,술집,남오토코,,,,,
술집,술집,봉구비어,,,,,
술집,술집,생활맥주,,,,,
술집,술집,와라와라,,,,,
술집,술집,투다리,,,,,
술집,술집,펀비어킹,,,,,
술집,술집,피쉬앤그릴,,,,,
술집,술집,한신포차,,,,,
술집,술집,역전할머니맥주,,,,,
편의시설,세탁소,코인워시,,,,,
편의시설,세탁소,크린토피아,,,,,
편의시설,세탁소,셀프빨래방24시,,,,,
편의시설,은행,하나은행,,,,,
편의시설,은행,기업은행,,,,,
편의시설,은행,우리은행,,,,,
편의시설,은행,농협,,,,,
